"typeLabel","placeName","choCount"
"diapositieven","Afrika","578"
"gelatinenegatieven op acetaat","Burkina Faso","460"
"beelden","Democratische Republiek Congo","440"
"beelden","Nigeria","328"
"lichtdrukken","Dakar","328"
"ontwikkelgelatinezilverdrukken","Kinshasa","312"
"foto's","Kwazulu","272"
"kleurendia's","Kenia","268"
"kleurendia's","Egypte","242"
"kruisen","Ethiopië","240"
"lichtdrukken","West-Afrika","224"
"bouwtekeningen","Bandiagara (kring)","214"
"foto's","Centraal-Afrika","196"
"lichtdrukken","Democratische Republiek Congo","188"
"kleurendia's","Zambia","180"
"beelden","Ivoorkust","178"
"beelden","Mali","164"
"kleurendia's","Ivoorkust","162"
"beelden","Tengenenge","152"
"kleurendia's","Tunesië","148"
"kleurendia's","Caïro","146"
"krachtbeelden","Democratische Republiek Congo","138"
"albuminedrukken","Cabinda (provincie)","130"
"diapositieven","Oost-Afrika","124"
"beelden","Ghana","122"
"beelden","Angola","118"
"beelden","Burkina Faso","118"
"beelden","Liberia","114"
"kleurendia's","Kyondo","112"
"grafbeelden","Madagascar","112"
"kleurendia's","Nairobi","108"
"lichtdrukken","Frans-Congo","102"
"ontwikkelgelatinezilverdrukken","Egypte","96"
"kleurendia's","Congo","94"
"foto's","Zuid-Afrika","94"
"krachtbeelden","Bas-Zaïre","92"
"attributen","Tanzania","82"
"foto's","Luanda (provincie)","82"
"daglichtcollodiumzilverdrukken","Zuid-Afrika","80"
"daglichtgelatinezilverdrukken","Zuid-Afrika","80"
"beelden","Tanzania","78"
"ontwikkelgelatinezilverdrukken","Tétouan","74"
"beelden","Bas-Zaïre","74"
"ontwikkelgelatinezilverdrukken","Oriental (provincie)","68"
"schilderijen","Shaba","68"
"foto's","Suezkanaal","68"
"lichtdrukken","Port Said","68"
"kleurendia's","Aran Orin","68"
"kleurendia's","Algerije","66"
"krachtbeelden","Angola","66"
"kleurendia's","Ruiru","66"
"prenten","Egypte","64"
"prenten","Caïro","64"
"gelatinenegatieven op acetaat","Nairobi","64"
"lichtdrukken","Centraal-Afrikaanse Republiek","62"
"ontwikkelgelatinezilverdrukken","Marrakech","60"
"foto's","Egypte","60"
"ontwikkelgelatinezilverdrukken","Frans-Equatoriaal-Afrika","60"
"beelden","Kameroen","60"
"lichtdrukken","Kinshasa","58"
"borduurwerk","Marokko","58"
"ontwikkelgelatinezilverdrukken","Tanger","58"
"ontwikkelgelatinezilverdrukken","Democratische Republiek Congo","58"
"beelden","Centraal-Afrika","58"
"ontwikkelgelatinezilverdrukken","Caïro","56"
"beelden","Benin","56"
"foto's","Algiers","54"
"gelatineplaatnegatieven","Marokko","54"
"kleurendia's","Senegal","54"
"kleurendia's","Kameroen","54"
"lichtdrukken","Tanger","52"
"cartes-de-visite (fotografische kaarten)","Angola","52"
"achterglasschilderingen","Dakar","52"
"bouwtekeningen","Djenné","52"
"kleurendia's","Burkina Faso","50"
"schilderijen","Oshogbo","50"
"foto's","St.-Denis","50"
"foto's","Uganda","50"
"gelatinenegatieven op acetaat","Eldoret","48"
"diapositieven","Ethiopië","48"
"kleurendia's","Marokko","48"
"gelatinenegatieven op acetaat","Kameroen","48"
"krachtbeelden","Benin","48"
"krachtbeelden","Beneden-Congo","48"
"beelden","Sierra Leone","46"
"beelden","West-Afrika","46"
"kleurendia's","Antananarivo","46"
"lichtdrukken","Boma","46"
"ontwikkelgelatinezilverdrukken","Tunesië","44"
"bouwtekeningen","Pégué","44"
"foto's","Algerije","42"
"ontwikkelgelatinezilverdrukken","Marokko","42"
"albuminedrukken","Zuid-Afrika","42"
"diapositieven","Adis Abeba","42"
"lichtdrukken","Madimba","42"
"foto's","Caïro","42"
"ontwikkelgelatinezilverdrukken","Suezkanaal","40"
"ontwikkelgelatinezilverdrukken","Fès","40"
"kruisbeelden","Angola","40"
"beelden","Afrika","40"
"gelatinenegatieven op acetaat","Benin","40"
"foto's","Réunion (Frankrijk)","38"
"foto's","Port Said","38"
"kleurendia's","Shilenda","36"
"lichtdrukken","Shaba","36"
"gelatinenegatieven op acetaat","Bandiagara (kring)","36"
"lichtdrukken","Nola","36"
"kleurendia's","Benin","36"
"beschermbeelden","Benin","36"
"schilderijen","Tanzania","34"
"cartes-de-visite (fotografische kaarten)","Réunion (Frankrijk)","34"
"etsen (prenten)","Algerije","34"
"kleurendia's","Al Karnak","34"
"kleurendia's","Eastern (KEN, provincie)","34"
"foto's","Gabon","34"
"kalligrafie","Algerije","34"
"schilderijen","Kinshasa","32"
"positieven (beeldmateriaal)","Afrika","32"
"foto's","Democratische Republiek Congo","32"
"diapositieven","Lambaréné","32"
"beelden","Ngoutchoumi","32"
"prenten","Marokko","32"
"lichtdrukken","Caïro","30"
"ontwikkelgelatinezilverdrukken","Rabat","30"
"ontwikkelgelatinezilverdrukken","Rwanda","30"
"diapositieven","Transvaal","30"
