"typeLabel","placeName","choCount"
"kleurendia's","Suriname","2128"
"zwart-wit foto's","Corneliskondre","1496"
"foto's","Suriname","1428"
"foto's","Diilerilaaq","978"
"zwart-wit negatieven","Pahuatlán","712"
"gelatinenegatieven op acetaat","Pahuatlán","712"
"gelatinenegatieven op acetaat","Puebla (deelstaat)","696"
"gelatinenegatieven op acetaat","Veracruz (deelstaat)","620"
"diapositieven","Diilerilaaq","616"
"zwart-wit negatieven","San Pablito","584"
"gelatinenegatieven op acetaat","San Pablito","584"
"kleurendia's","Bonaire","546"
"gelatinenegatieven op acetaat","Mexico","536"
"zwart-wit dia's","Coppename (rivier)","508"
"zwart-wit negatieven","Papantla","504"
"zwart-wit negatieven","Cuetzalan","494"
"gelatinenegatieven op acetaat","Cuetzalan","494"
"ontwikkelgelatinezilverdrukken","Suriname","488"
"diapositieven","Verenigde Staten van Amerika","438"
"gelatinenegatieven op nitraat","Suriname","436"
"diapositieven","Groenland- Oost","434"
"zwart-wit negatieven","Mexico-Stad","432"
"daglichtgelatinezilverdrukken","Paramaribo","424"
"gelatineplaatnegatieven","Suriname","418"
"beelden","Mexico","418"
"kleurendia's","Curaçao","408"
"kleurendia's","Mexico","364"
"kleurendia's","Aruba","348"
"kleurendia's","Peru","340"
"ontwikkelgelatinezilverdrukken","Paramaribo","334"
"gelatinenegatieven op acetaat","Jalisco (deelstaat)","332"
"kleurendia's","Mexico-Stad","304"
"zwart-wit negatieven","Jalisco (deelstaat)","282"
"zwart-wit negatieven","Puebla (deelstaat)","278"
"kleurendia's","Puerto Rico","274"
"daglichtgelatinezilverdrukken","Suriname","256"
"foto's","Litani (rivier)","246"
"kleurendia's","Brazilië","246"
"zwart-wit negatieven","Tlaxcala","242"
"gelatinenegatieven op acetaat","Tlaxcala","242"
"ontwikkelgelatinezilverdrukken","Curaçao","240"
"gelatinenegatieven op nitraat","Paramaribo","238"
"gelatinenegatieven op acetaat","Papantla","232"
"gelatinenegatieven op acetaat","Mexico-Stad","230"
"daglichtgelatinezilverdrukken","Curaçao","230"
"gelatinenegatieven op acetaat","Hidalgo (deelstaat)","228"
"volksprenten","Midden- en Zuid-Amerika","222"
"kleurendia's","Sint Maarten","222"
"foto's","Paramaribo","212"
"gelatinenegatieven op acetaat","Tuxpan","212"
"zwart-wit negatieven","Tuxpan","212"
"ontwikkelgelatinezilverdrukken","Willemstad","210"
"gelatinenegatieven op acetaat","Nayarit (deelstaat)","208"
"glasnegatieven","Tapanahoni (rivier)","204"
"gelatinenegatieven op acetaat","México (deelstaat)","198"
"zwart-wit negatieven","Veracruz (deelstaat)","196"
"gelatinenegatieven op acetaat","Xochimilco","194"
"zwart-wit negatieven","Xochimilco","194"
"zwart-wit negatieven","Teotihuacán","192"
"gelatinenegatieven op acetaat","Teotihuacán","192"
"ontwikkelgelatinezilverdrukken","Litani (rivier)","188"
"kleurendia's","Antigua","184"
"kleurendia's","Guatemala","180"
"daglichtgelatinezilverdrukken","Willemstad","178"
"foto's","Sipaliwini (district)","174"
"kleurendia's","Colombia","160"
"zwart-wit negatieven","Mexico","152"
"gelatinenegatieven op nitraat","Sipaliwini (district)","150"
"ontwikkelgelatinezilverdrukken","Tasiilaq","146"
"gelatinenegatieven op acetaat","Distrito Federal","144"
"zwart-wit negatieven","Distrito Federal","144"
"gelatinenegatieven op acetaat","Suriname","142"
"gelatinenegatieven op acetaat","Chiapas (deelstaat)","138"
"zwart-wit negatieven","Chiapas (deelstaat)","138"
"ontwikkelgelatinezilverdrukken","Sipaliwini (district)","136"
"beelden","Suriname","134"
"zwart-wit negatieven","Amecameca","132"
"gelatinenegatieven op acetaat","Amecameca","132"
"gelatinenegatieven op acetaat","Oaxaca (deelstaat)","130"
"kleurendia's","Recife","130"
"foto's","Plains","122"
"zwart-wit negatieven","Tepoztlán","122"
"gelatinenegatieven op acetaat","Tepoztlán","122"
"foto's","Paraguay","120"
