"typeLabel","placeName","choCount"
"gouaches (schilderingen)","China","5990"
"schetsen (beeldende werken)","Tôkyô To","3066"
"mooie-vrouwen-prenten","Tôkyô To","2688"
"prenten","Tôkyô To","2358"
"kleurendia's","Indonesië","2306"
"ontwikkelgelatinezilverdrukken","Indonesië","2260"
"landschapsprenten","Tôkyô To","2244"
"acteursprenten","Tôkyô To","2142"
"foto's","Borneo","1850"
"gelatineplaatnegatieven","Indonesië","1774"
"foto's","Japan","1768"
"triptieken","Tôkyô To","1672"
"tekeningen","Tôkyô To","1656"
"foto's","Apo Kayan (plateau)","1650"
"gelatinenegatieven op nitraat","Belu (regentschap)","1596"
"ontwikkelgelatinezilverdrukken","Jakarta","1458"
"ontwerptekeningen","Tôkyô To","1452"
"diapositieven","Awer (Halmahera)","1432"
"ontwikkelgelatinezilverdrukken","Jawa","1246"
"prenten","Japan","1176"
"gelatinenegatieven op acetaat","Hadramawt (gouvernement)","1138"
"beelden","Bali","1102"
"foto's","Jawa","1048"
"ontwikkelgelatinezilverdrukken","Bali","974"
"schilderingen","Nagasaki","972"
"gelatinenegatieven op nitraat","Mongolië","938"
"prenten","China","914"
"gelatinenegatieven op nitraat","Manggarai (regentschap)","900"
"foto's","Beijing","840"
"ontwikkelgelatinezilverdrukken","Prambanan tempelcomplex","830"
"schilderingen","China","802"
"kleurennegatieven","Awer (Halmahera)","742"
"ontwikkelgelatinezilverdrukken","Sumatera Utara (provincie)","736"
"lithografieën (prenten)","Borobudur","700"
"ontwikkelgelatinezilverdrukken","Penataran","692"
"ontwikkelgelatinezilverdrukken","Jawa Timur (provincie)","678"
"gelatineplaatnegatieven","Borobudur","650"
"kleurendia's","Papua (Indonesië)","648"
"ontwikkelgelatinezilverdrukken","Surabaya (stadsgemeente)","640"
"kleurendia's","Jakarta","630"
"foto's","Zuid-Papua","606"
"schilderijen","Bali","586"
"kleurendia's","Ubud","576"
"foto's","Borobudur","574"
"schilderingen","Japan","558"
"gelatinenegatieven op acetaat","Jakarta","556"
"stereofoto's","Jawa","548"
"foto's","Indonesië","548"
"surimono's","Tôkyô To","542"
"foto's","Semarang (regentschap)","538"
"beelden","Indonesië","524"
"foto's","Papua (Indonesië)","516"
"foto's","Sumatera","510"
"gelatineplaatnegatieven","Bali","508"
"netsukes","Japan","508"
"gelatine-zilver negatieven (op drager van kunststof)","Arabisch Schiereiland","494"
"gelatineplaatnegatieven","Jawa","484"
