"typeLabel","placeName","choCount"
"ontwikkelgelatinezilverdrukken","Amsterdam","1704"
"gelatineplaatnegatieven","Amsterdam","1080"
"negatieven","Nederland","530"
"foto's","Europa- Noord","520"
"lichtdrukken","België","508"
"kleurenfoto's","Amsterdam","490"
"kleurendia's","Amsterdam","456"
"gelatinenegatieven op acetaat","Amsterdam","436"
"foto's","Nederland","432"
"gelatinenegatieven op acetaat","Nederland","338"
"foto's","Parijs","300"
"diapositieven","Amsterdam","234"
"kleurendia's","Nederland","232"
"ontwikkelgelatinezilverdrukken","Parijs","226"
"proeflappen","Helmond","206"
"lichtdrukken","Europa","194"
"bouwtekeningen","Nederland","176"
"lichtdrukken","Londen","146"
"ontwikkelgelatinezilverdrukken","Nederland","146"
"gelatinenegatieven op acetaat","Visby","140"
"zwart-wit negatieven","Visby","140"
"tekeningen","Nederland","118"
"ontwikkelgelatinezilverdrukken","Europa","110"
"zwart-wit negatieven","Amsterdam","102"
"gelatinenegatieven op polyester","Amsterdam","100"
"houtsneden","Nederland","98"
"zwart-wit negatieven","Noorwegen","94"
"gelatinenegatieven op acetaat","Noorwegen","94"
"foto's","Amsterdam","88"
"gravures","Parijs","82"
"ontwikkelgelatinezilverdrukken","Den Haag","80"
"poppen (figuurvoorstellingen)","Russische Federatie","80"
"kleurendia's","Europa","80"
"figuren (voorstellingen)","Polen","78"
"foto's","Siberië","72"
"ontwikkelgelatinezilverdrukken","Zwolle","64"
"gelatineplaatnegatieven","Nederland","64"
"ontwikkelgelatinezilverdrukken","Rotterdam","60"
"gelatinenegatieven op nitraat","Amsterdam","60"
"figuren (voorstellingen)","Dalarna ","58"
"foto's","Dagestan (republiek)","52"
"gravures","Eurazië","52"
"foto's","Zuidoost-Siberië","52"
"diapositieven","Nederland","50"
"kleurenlithografieën (prenten)","Zürich","48"
"lichtdrukken","Gibraltar","46"
"aquarellen","Europa","46"
"lithografieën (prenten)","Nederland","46"
"ontwikkelgelatinezilverdrukken","Gouda","44"
"gravures","Nederland","42"
"ontwikkelgelatinezilverdrukken","Arnhem","42"
"ontwikkelgelatinezilverdrukken","Berlijn","42"
"ontwikkelgelatinezilverdrukken","Leiden","40"
"figuren (voorstellingen)","Zweden","40"
"daglichtcollodiumzilverdrukken","Europa","40"
"lithografieën (prenten)","België","40"
"zwart-wit foto's","Nederland","38"
"beelden","Nederland","36"
"zwart-wit negatieven","Zweden","34"
"beelden","Europa","34"
"gelatinenegatieven op acetaat","Zweden","34"
"koperdiepdrukken","Amsterdam","34"
"positieven (beeldmateriaal)","Haarlem","34"
"afgietsels","Tsjechië","34"
"ontwikkelgelatinezilverdrukken","Enschede","32"
"prenten","België","32"
"zwart-wit negatieven","Kopenhagen","32"
"gelatinenegatieven op acetaat","Kopenhagen","32"
"foto's","Londen","30"
"gelatinenegatieven op nitraat","Zaandam","30"
"kleurennegatieven","Amsterdam","30"
"afgietsels","Suffolk","28"
"daglichtcollodiumzilverdrukken","Frankrijk","28"
"prenten","Duitsland","28"
"daglichtgelatinezilverdrukken","Nederland","28"
"prenten","Europa","26"
"beelden","Wenen","26"
"kleipoppen","Russische Federatie","26"
"figuren (voorstellingen)","Stockholm (county)","26"
"ontwikkelgelatinezilverdrukken","Kopenhagen","26"
"lithografieën (prenten)","Europa","26"
"foto's","Europa","26"
"matroesjka's","Russische Federatie","24"
"figuren (voorstellingen)","Russische Federatie","24"
"sculpturen","Siberië","24"
