"typeLabel","placeName","choCount"
"kleurendia's","Moce","1874"
"kleurendia's","Mandok","1270"
"diapositieven","Nieuw-Guinea (eiland)","1010"
"kleurendia's","Nieuw-Guinea (eiland)","638"
"foto's","Papoea-Nieuw-Guinea","440"
"gelatinenegatieven op acetaat","Nieuw-Guinea (eiland)","438"
"kleurendia's","Papoea-Nieuw-Guinea","342"
"ontwikkelgelatinezilverdrukken","Nieuw-Guinea (eiland)","134"
"foto's","Nieuw-Guinea (eiland)","112"
"beelden","Midden-Sepik","112"
"schilderingen","East Sepik (provincie)","98"
"foto's","Pohnpei","90"
"foto's","Tasmania","86"
"voorouderbeelden","New Ireland (provincie)","80"
"schilderingen","Apangai","72"
"foto's","Hawaii","58"
"schaalmodellen","Trobriand-eilanden","50"
"beelden","Papoea-Nieuw-Guinea","48"
"cartes-de-visite (fotografische kaarten)","Carolinen","46"
"houtsnijwerk","Trobriand-eilanden","44"
"beeldsnijwerken","Trobriand-eilanden","44"
"beelden","Sepik -gebied","42"
"beelden","East Sepik (provincie)","42"
"figuurvoorstellingen","Trobriand-eilanden","42"
"maskers (beeldhouwwerk)","Tambanum","40"
"daglichtgelatinezilverdrukken","Torres Straat -gebied","38"
"foto's","Honolulu","38"
"kleurendia's","Samoa","38"
"daglichtgelatinezilverdrukken","Waiben (eiland)","36"
"voorouderbeelden","Sepik -gebied","36"
"foto's","New South Wales ","36"
"ontwikkelgelatinezilverdrukken","Sepik -gebied","36"
"voorouderbeelden","Maprik-gebied","28"
"foto's","Australië","28"
"ontwikkelgelatinezilverdrukken","New Britain","26"
"beelden","Maprik-gebied","26"
"voorouderbeelden","Kaugia","26"
"kabinetfoto's","Carolinen","26"
"beelden","New Georgia (eiland)","24"
"kleurendia's","Umboi-eiland","24"
"kleurendia's","Lae","24"
"voorouderbeelden","Jama -Nieuw-Guinea","24"
"foto's","Chuuk (deelstaat)","22"
"voorouderbeelden","Ulupu","22"
"foto's","Ontong Java","22"
"cartes-de-visite (fotografische kaarten)","Australië","20"
"voorouderbeelden","Papoea-Nieuw-Guinea","20"
"maskers (beeldhouwwerk)","Chambri (plaats)","20"
"attributen","Mioko (eiland)","20"
"voorouderbeelden","Admiralty-eilanden","20"
"beeldsnijwerken","East Sepik (provincie)","20"
"foto's","Nieuw-Zeeland","18"
"prenten","Australië","18"
"foto's","Kosrae (eiland)","18"
"foto's","West Sepik (provincie)","18"
"stereofoto's","Carolinen","18"
"ontwikkelgelatinezilverdrukken","Papoea-Nieuw-Guinea","16"
"foto's","Carolinen","16"
"beelden","New Ireland (provincie)","16"
"kleurendia's","Vanuatu","16"
"cartes-de-visite (fotografische kaarten)","Samoa-eilanden","16"
"schilderingen","Sepik -gebied","16"
"foto's","Solomon Eilanden","16"
"boombastschilderingen","Arnhem Land","16"
"foto's","Aitape","16"
"voorouderbeelden","Masalaga","16"
"beelden","Kalabu","16"
"beeldmateriaal","Nieuw-Caledonië","15"
"boegbeelden","New Georgia (eiland)","14"
"daglichtgelatinezilverdrukken","Papoea-Nieuw-Guinea","14"
"voorouderbeelden","Kilimbit","14"
"foto's","Fiji","14"
"voorouderbeelden","East Sepik (provincie)","14"
"poppen (figuurvoorstellingen)","Malakula","14"
"beelden","Polynesië","14"
"figuren (voorstellingen)","Kiriwina-eiland","14"
"houtsneden","Nieuw-Guinea (eiland)","14"
"cartes-de-visite (fotografische kaarten)","Tahiti","14"
"foto's","Zuidoostelijk Papoea-Nieuw-Guinea","14"
"houtsnijwerk","Kiriwina-eiland","14"
"boombastschilderingen","Numbulwar","14"
"foto's","Saipan","12"
"foto's","Nieuw-Caledonië","12"
"foto's","Admiralty-eilanden","12"
"ontwikkelgelatinezilverdrukken","Waiben (eiland)","12"
"schilderingen","Australië","12"
"beeldsnijwerken","New Britain","12"
"yipwon-beelden","Karawari-rivier","12"
"gevelmaskers","Torembi","12"
"beelden","Era (rivier)","12"
"beelden","Oceanië","12"
"beelden","Kanganaman","12"
"yipwon-beelden","Chimbut","12"
"tekeningen","Oceanië","10"
"voorouderbeelden","Nieuw-Guinea (eiland)","10"
"foto's","New Ireland (provincie)","10"
"foto's","Brisbane","10"
"beeldsnijwerken","Kiriwina-eiland","10"
"proeflappen","Moce","10"
"portretschedels","Gazelle-schiereiland","10"
"voorouderbeelden","Tau (Manua)","8"
